fecha;gravedad;evento;usuario;funcion;mensaje;extra
2025-10-31 18:19:17;INFO;login_ok;admin;login;Ingreso correcto.;
2025-10-31 18:19:50;WARN;io_error;;login;[31mEl archivo está siendo accedido por un usuario no permitido.[0m;
2025-11-12 12:18:07;WARN;login_attempts_exceeded;luis;login;Excediste los 3 intentos.;
2025-11-12 12:18:07;WARN;login_attempts;;login;[31mExcediste los 3 intentos.[0m;
2025-11-12 12:20:18;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:20:22;ERROR;io_error;pepe;*;[33m⚠ No tenés cuentas guardadas todavía[0m;
2025-11-12 12:20:28;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:20:35;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:24:59;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:25:06;WARN;login_user_not_found;pepe;mostrar;[33mUsuario administrador no encontrado.[0m;
2025-11-12 12:25:15;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:25:22;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:26:21;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:34:47;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:35:53;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:36:06;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:36:20;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:36:29;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:36:39;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:37:04;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:37:21;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:37:40;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:37:43;ERROR;unespected_error;pepe;*;cannot access local variable 'salir' where it is not associated with a value;
2025-11-12 12:38:17;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:38:55;INFO;account_added;pepe;nueva_cuenta;Cuenta agregada.;
2025-11-12 12:39:21;INFO;login_ok;pepe;login;Ingreso correcto.;
2025-11-12 12:43:56;INFO;login_ok;pepe;login;Ingreso correcto.;
